明治44年5月30日左記學校組合ノ設立ヲ認可ス : 朝鮮總督府告示第161號/19110601/GB_19110601_AA0225_G0001/CNTS-00083073375
國有地小作人組合業務執行規程ノ件 : 官通牒第164號/19110601/GB_19110601_AA0225_G0002/CNTS-00083073376
家屋稅實地對査ノ結果ニ關スル件 : 官通牒第165號/19110601/GB_19110601_AA0225_G0003/CNTS-00083073377
正誤 : 官通牒第165號/19110601/GB_19110601_AA0225_G0004/CNTS-00083073385
明治44年5月9日 : 官通牒第165號/19110601/GB_19110601_AA0225_G0005/CNTS-00083073379
明治44年5月17日 : 官通牒第165號/19110601/GB_19110601_AA0225_G0006/CNTS-00083073380
明治44年5月26日 : 官通牒第165號/19110601/GB_19110601_AA0225_G0007/CNTS-00083073381
明治44年5月29日 : 官通牒第165號/19110601/GB_19110601_AA0225_G0008/CNTS-00083073382
明治44年5月30日 : 官通牒第165號/19110601/GB_19110601_AA0225_G0009/CNTS-00083073383
明治44年5月31日 : 官通牒第165號/19110601/GB_19110601_AA0225_G0010/CNTS-00083073384
正誤 : 官通牒第165號/19110601/GB_19110601_AA0225_G0011/CNTS-00083073385
米國總領事歸任 : 官通牒第165號/19110601/GB_19110601_AA0225_G0012/CNTS-00083073386
稅關貨物取扱人免許 : 官通牒第165號/19110601/GB_19110601_AA0225_G0013/CNTS-00048579573
各地氣象 : 官通牒第165號/19110601/GB_19110601_AA0225_G0014/CNTS-00048257612
京城地方天氣豫報 : 官通牒第165號/19110601/GB_19110601_AA0225_G0015/CNTS-00083073389
明治43年9月統監府令第59號ニ依リ本年分ヨリ改定實施セラルヘキ驛屯土小作料ノ本道管內ニ係ルモノノ百坪當金額左ノ如シ : 朝鮮總督府忠淸北道告示第20號/19110601/GB_19110601_AB0001_G0001/CNTS-00083073390
明治44年度平安南道各府郡臨時恩賜金歲入歲出豫算左ノ如シ : 朝鮮總督府平安南道告示第10號/19110601/GB_19110601_AB0001_G0002/CNTS-00083073391
右本日新灘津學校組合管理者ニ任命シタリ : 朝鮮總督府忠淸南道告示第10號/19110602/GB_19110602_AA0226_G0001/CNTS-00083073392
正誤 : 朝鮮總督府忠淸南道告示第10號/19110602/GB_19110602_AA0226_G0002/CNTS-00083073402
明治44年5月26日 : 朝鮮總督府忠淸南道告示第10號/19110602/GB_19110602_AA0226_G0003/CNTS-00083073394
明治44年5月27日 : 朝鮮總督府忠淸南道告示第10號/19110602/GB_19110602_AA0226_G0004/CNTS-00083073395
明治44年5月16日 : 朝鮮總督府忠淸南道告示第10號/19110602/GB_19110602_AA0226_G0005/CNTS-00083073396
明治44年5月17日 : 朝鮮總督府忠淸南道告示第10號/19110602/GB_19110602_AA0226_G0006/CNTS-00083073397
明治44年5月20日 : 朝鮮總督府忠淸南道告示第10號/19110602/GB_19110602_AA0226_G0007/CNTS-00083073398
明治44年5月30日 : 朝鮮總督府忠淸南道告示第10號/19110602/GB_19110602_AA0226_G0008/CNTS-00083073399
明治44年5月31日 : 朝鮮總督府忠淸南道告示第10號/19110602/GB_19110602_AA0226_G0009/CNTS-00083073400
明治44年6月1日 : 朝鮮總督府忠淸南道告示第10號/19110602/GB_19110602_AA0226_G0010/CNTS-00083073401
正誤 : 朝鮮總督府忠淸南道告示第10號/19110602/GB_19110602_AA0226_G0011/CNTS-00083073402
國有地小作人組合理事命免 : 朝鮮總督府忠淸南道告示第10號/19110602/GB_19110602_AA0226_G0012/CNTS-00048592943
